ds;dt;P;V
2019-01-16 01:00;362;0.7894;4.9
2019-01-16 02:00;363;0.7181;5.5
2019-01-16 03:00;364;0.5544;4.1
2019-01-16 04:00;365;1.0732;3.8
2019-01-16 05:00;366;0.4521;4.3
2019-01-16 06:00;367;0.5445;4.2
2019-01-16 07:00;368;0.5465;5.1
2019-01-16 08:00;369;0.2574;3.9
2019-01-16 09:00;370;0.0647;3.2
2019-01-16 10:00;371;0.1267;2
2019-01-16 11:00;372;1.1154;5
2019-01-16 12:00;373;0.5828;5.1
2019-01-16 13:00;374;0.1498;3.7
2019-01-16 14:00;375;0.0409;2.9
2019-01-16 15:00;376;0.0614;3
2019-01-16 16:00;377;0.002;2.8
2019-01-16 17:00;378;0;1.5
2019-01-16 18:00;379;0.0046;1.5
2019-01-16 19:00;380;0.2132;2.7
2019-01-16 20:00;381;0.7537;3.9
2019-01-16 21:00;382;0.5075;4.4
2019-01-16 22:00;383;0.6725;4.3
2019-01-16 23:00;384;0.759;4.6
2019-01-17 00:00;385;0.7742;4
2019-01-17 01:00;386;0.7933;5.4
2019-01-17 02:00;387;0.5135;5.1
2019-01-17 03:00;388;0.6343;3.6
2019-01-17 04:00;389;1.0303;4.7
2019-01-17 05:00;390;1.751;5.9
2019-01-17 06:00;391;1.1392;4.8
2019-01-17 07:00;392;1.6256;5.6
2019-01-17 08:00;393;1.5187;5.4
2019-01-17 09:00;394;1.4487;6.9
2019-01-17 10:00;395;0.8204;5.3
2019-01-17 11:00;396;1.39;4.9
2019-01-17 12:00;397;1.4942;5.6
2019-01-17 13:00;398;0.8587;5.1
2019-01-17 14:00;399;0.6409;4.9
2019-01-17 15:00;400;0.5425;3.9
2019-01-17 16:00;401;0.8164;4.5
2019-01-17 17:00;402;0.5894;4.6
2019-01-17 18:00;403;0.1769;3.4
2019-01-17 19:00;404;0.2845;2.6
2019-01-17 20:00;405;0.3927;3.5
2019-01-17 21:00;406;0.5425;4.2
2019-01-17 22:00;407;0.7009;4.2
2019-01-17 23:00;408;1.0765;5.1
2019-01-18 00:00;409;1.3385;5.8
2019-01-18 01:00;410;1.6038;6.9
2019-01-18 02:00;411;1.3009;6
2019-01-18 03:00;412;0.8065;5.3
2019-01-18 04:00;413;0.4858;4.6
2019-01-18 05:00;414;0.3689;3.9
2019-01-18 06:00;415;0.2779;3.9
2019-01-18 07:00;416;0.1881;3.2
2019-01-18 08:00;417;0.0244;3.3
2019-01-18 09:00;418;0;2.5
2019-01-18 10:00;419;0;2.3
2019-01-18 11:00;420;0.0046;1.7
2019-01-18 12:00;421;0;2.7
2019-01-18 13:00;422;0;2.2
2019-01-18 14:00;423;0;1.7
2019-01-18 15:00;424;0.0092;2.3
2019-01-18 16:00;425;0;2.5
2019-01-18 17:00;426;0;2
2019-01-18 18:00;427;0;1.4
2019-01-18 19:00;428;0.0264;2.1
2019-01-18 20:00;429;0.1835;2.9
2019-01-18 21:00;430;0.1723;3.4
2019-01-18 22:00;431;0.031;2.9
2019-01-18 23:00;432;0.002;2.3
2019-01-19 00:00;433;0.0013;2.1
2019-01-19 01:00;434;0;1.9
2019-01-19 02:00;435;0;2
2019-01-19 03:00;436;0.0614;2.2
2019-01-19 04:00;437;0.0165;2.5
2019-01-19 05:00;438;0.1406;2.8
2019-01-19 06:00;439;0.6356;3.4
2019-01-19 07:00;440;1.2797;5.8
2019-01-19 08:00;441;1.4183;5.8
2019-01-19 09:00;442;1.8104;6.3
2019-01-19 10:00;443;1.7965;6.8
2019-01-19 11:00;444;1.3141;6.1
2019-01-19 12:00;445;1.6414;5.6
