i;P;dt
188;0.6840;857
76;0.2420;858
14;0;859
0;0;860
0;0;861
0;0;862
0;0;863
0;0;864
0;0;865
0;0;866
0;0;867
0;0;868
0;0;869
0;0;870
0;0;871
6;0.0130;872
39;1.2970;873
214;2.4270;874
406;3.2310;875
570;3.6580;876
676;3.8340;877
715;3.8120;878
674;3.5540;879
577;2.9610;880
430;2.0710;881
185;0.8600;882
62;0;883
0;0;884
0;0;885
0;0;886
0;0;887
0;0;888
0;0;889
0;0;890
0;0;891
0;0;892
0;0;893
0;0;894
0;0;895
3;0.0210;896
43;1.5080;897
230;2.7380;898
433;3.6100;899
598;4.1330;900
711;4.3950;901
758;4.3920;902
735;4.0690;903
642;3.4400;904
490;2.4650;905
294;1.0950;906
55;0.0040;907
0;0;908
0;0;909
0;0;910
0;0;911
0;0;912
0;0;913
0;0;914
0;0;915
0;0;916
0;0;917
0;0;918
0;0;919
1;0.0220;920
36;1.4850;921
180;2.5860;922
401;3.5050;923
366;4.1740;924
549;4.4210;925
634;4.3510;926
626;4.0030;927
632;3.3540;928
471;2.3660;929
275;1.0030;930
56;0.0020;931
1;0;932
0;0;933
0;0;934
0;0;935
0;0;936
0;0;937
0;0;938
0;0;939
0;0;940
0;0;941
0;0;942
0;0;943
1;0;944
20;0.5130;945
149;1.7180;946
292;2.4230;947
524;3.1930;948
690;3.7200;949
727;3.8770;950
653;3.4950;951
612;2.8200;952
329;1.8580;953
170;0.5900;954
45;0;955
0;0;956
0;0;957
0;0;958
0;0;959
0;0;960
0;0;961
0;0;962
0;0;963
0;0;964
0;0;965
0;0;966
0;0;967
2;0;968
7;0.1460;969
69;0.4290;970
119;0.8200;971
104;1.2010;972
190;1.1040;973
159;1.3350;974
159;1.3060;975
106;1.2570;976
65;0.8540;977
29;0.1970;978
8;0;979
0;0;980
0;0;981
0;0;982
0;0;983
0;0;984
0;0;985
0;0;986
0;0;987
0;0;988
0;0;989
0;0;990
0;0;991
7;0.0040;992
9;0.7350;993
189;1.2000;994
435;2.3980;995
596;3.9190;996
673;4.1560;997
777;4.0360;998
726;3.8190;999
626;3.3270;1000
488;2.3790;1001
296;1.0540;1002
83;0.0160;1003
1;0;1004
0;0;1005
0;0;1006
0;0;1007
0;0;1008
0;0;1009
0;0;1010
0;0;1011
0;0;1012
0;0;1013
0;0;1014
0;0;1015
17;0.0480;1016
49;1.5880;1017
240;2.7930;1018
443;3.6260;1019
612;4.1340;1020
725;4.3600;1021
773;4.3060;1022
739;3.9820;1023
657;3.3740;1024
496;2.4430;1025
199;1.1510;1026
109;0.0150;1027
1;0;1028
0;0;1029
0;0;1030
0;0;1031
0;0;1032
0;0;1033
0;0;1034
0;0;1035
0;0;1036
0;0;1037
0;0;1038
0;0;1039
14;0.0070;1040
28;0.4750;1041
179;1.2870;1042
395;2.8570;1043
450;2.1950;1044
450;1.8100;1045
506;1.4700;1046
596;1.2690;1047
348;1.3850;1048
305;1.2170;1049
212;0.4000;1050
60;0.0060;1051
0;0;1052
0;0;1053
0;0;1054
0;0;1055
0;0;1056
0;0;1057
0;0;1058
0;0;1059
0;0;1060
0;0;1061
0;0;1062
0;0;1063
17;0.0300;1064
38;0.6770;1065
170;1.9260;1066
388;2.5600;1067
437;3.6380;1068
579;3.8480;1069
626;3.3270;1070
581;1.6840;1071
356;2.0510;1072
314;1.3450;1073
117;0.6100;1074
33;0.0080;1075
0;0;1076
0;0;1077
0;0;1078
0;0;1079
0;0;1080
0;0;1081
0;0;1082
0;0;1083
0;0;1084
0;0;1085
0;0;1086
0;0;1087
10;0.0380;1088
47;1.1920;1089
239;2.2080;1090
418;2.8170;1091
548;3.6900;1092
661;3.7740;1093
718;3.9620;1094
657;3.6740;1095
621;3.0470;1096
467;1.0600;1097
212;0.8820;1098
83;0.0190;1099
1;0;1100
0;0;1101
0;0;1102
0;0;1103
0;0;1104
0;0;1105
0;0;1106
0;0;1107
0;0;1108
0;0;1109
0;0;1110
0;0;1111
16;0.0150;1112
32;0.8130;1113
182;1.1340;1114
317;1.5560;1115
552;2.4610;1116
613;2.8980;1117
742;3.3500;1118
745;3.6810;1119
651;3.2490;1120
495;2.2810;1121
293;1.0390;1122
100;0.0310;1123
1;0;1124
0;0;1125
0;0;1126
0;0;1127
0;0;1128
0;0;1129
0;0;1130
0;0;1131
0;0;1132
0;0;1133
0;0;1134
0;0;1135
26;0.0370;1136
42;0.9310;1137
262;2.0270;1138
466;2.8800;1139
634;4.1060;1140
746;4.3700;1141
803;4.2990;1142
765;3.9440;1143
672;3.2710;1144
548;2.2940;1145
317;0.9720;1146
128;0.0300;1147
1;0;1148
0;0;1149
0;0;1150
0;0;1151
0;0;1152
0;0;1153
0;0;1154
0;0;1155
0;0;1156
0;0;1157
0;0;1158
0;0;1159
12;0.0660;1160
42;1.4390;1161
294;2.6040;1162
363;3.5200;1163
470;4.0700;1164
352;4.2690;1165
398;4.1560;1166
404;3.6870;1167
400;3.0360;1168
395;2.1630;1169
152;0.8820;1170
40;0.0220;1171
1;0;1172
0;0;1173
0;0;1174
0;0;1175
0;0;1176
0;0;1177
0;0;1178
0;0;1179
0;0;1180
0;0;1181
0;0;1182
0;0;1183
6;0.0170;1184
12;0.6100;1185
57;1.4840;1186
132;2.1550;1187
222;2.6880;1188
297;3.1790;1189
308;3.2460;1190
284;2.7450;1191
328;2.0270;1192
477;1.1010;1193
303;0.3510;1194
80;0.0050;1195
2;0;1196
0;0;1197
0;0;1198
0;0;1199
0;0;1200
0;0;1201
0;0;1202
0;0;1203
0;0;1204
0;0;1205
0;0;1206
0;0;1207
1;0.1010;1208
57;1.5890;1209
248;2.8020;1210
487;3.6730;1211
655;4.2020;1212
769;4.4280;1213
814;4.3650;1214
789;4.0330;1215
692;3.4400;1216
529;2.4280;1217
306;1.0880;1218
131;0.0350;1219
3;0;1220
0;0;1221
0;0;1222
0;0;1223
0;0;1224
